model_name,comments_size_bytes,comments_size_kb,comments_lines,comments_characters,comments_tokens,comments_words,tla_size_bytes,tla_size_kb,tla_lines,tla_characters,tla_tokens,tla_words,cfg_size_bytes,cfg_size_kb,cfg_lines,cfg_characters,cfg_tokens,cfg_words,total_size_bytes,total_size_kb,total_tokens,reasoning_tokens,default_tokens
Einstein,4035,3.94,70,3966,711,467,,,,,,,51,0.05,5,51,13,4,4086,3.99,724,711,13
SimTokenRing,333,0.33,6,328,66,52,,,,,,,448,0.44,25,448,142,66,781,0.76,208,66,142
TokenRing,694,0.68,13,682,132,81,,,,,,,141,0.14,18,141,47,17,835,0.82,179,132,47
EWD687a,23079,22.54,335,22745,4238,2967,,,,,,,,,,,,,23079,22.54,4238,4238,
EWD687aPlusCal,2321,2.27,45,2275,424,283,,,,,,,,,,,,,2321,2.27,424,424,
EWD687a_anim,3954,3.86,73,3882,987,674,,,,,,,430,0.42,40,430,146,51,4384,4.28,1133,987,146
MCEWD687a,309,0.3,7,303,68,27,,,,,,,670,0.65,45,670,207,76,979,0.96,275,68,207
EWD840,6309,6.16,87,6223,768,531,,,,,,,77,0.08,8,77,24,12,6386,6.24,792,768,24
EWD840_anim,1218,1.19,21,1198,278,200,,,,,,,157,0.15,15,157,47,21,1375,1.34,325,278,47
EWD840_json,766,0.75,16,751,185,93,,,,,,,78,0.08,8,78,21,10,844,0.82,206,185,21
EWD840_proof,1419,1.39,20,1400,199,123,,,,,,,,,,,,,1419,1.39,199,199,
SyncTerminationDetection,914,0.89,16,899,138,93,,,,,,,120,0.12,15,120,36,13,1034,1.01,174,138,36
TLAPS,15358,15.0,280,15079,2869,1436,,,,,,,,,,,,,15358,15.0,2869,2869,
AsyncTerminationDetection,2625,2.56,45,2581,398,244,,,,,,,128,0.12,13,128,44,14,2753,2.69,442,398,44
AsyncTerminationDetection_proof,1601,1.56,23,1579,208,121,,,,,,,,,,,,,1601,1.56,208,208,
EWD998,4411,4.31,79,4333,677,453,,,,,,,210,0.21,21,210,65,21,4621,4.51,742,677,65
EWD998Chan,3197,3.12,64,3134,620,421,,,,,,,155,0.15,18,155,46,14,3352,3.27,666,620,46
EWD998ChanID,4078,3.98,83,3996,912,621,,,,,,,243,0.24,23,243,80,18,4321,4.22,992,912,80
EWD998ChanID_export,527,0.51,13,515,112,82,,,,,,,312,0.3,15,312,91,43,839,0.82,203,112,91
EWD998ChanID_shiviz,1285,1.25,25,1261,301,188,,,,,,,310,0.3,17,310,90,43,1595,1.56,391,301,90
EWD998ChanTrace,5772,5.64,88,5685,1409,952,,,,,,,173,0.17,17,173,44,14,5945,5.81,1453,1409,44
EWD998Chan_opts,2750,2.69,45,2706,609,450,,,,,,,,,,,,,2750,2.69,609,609,
EWD998PCal,1747,1.71,27,1721,351,236,,,,,,,133,0.13,9,133,35,18,1880,1.84,386,351,35
EWD998_anim,1742,1.7,32,1711,411,274,,,,,,,,,,,,,1742,1.7,411,411,
EWD998_opts,2966,2.9,48,2919,652,481,,,,,,,,,,,,,2966,2.9,652,652,
EWD998_optsSC,835,0.82,15,821,189,137,,,,,,,,,,,,,835,0.82,189,189,
EWD998_proof,4845,4.73,68,4778,602,403,,,,,,,,,,,,,4845,4.73,602,602,
SmokeEWD998,976,0.95,14,963,211,155,,,,,,,151,0.15,9,151,44,20,1127,1.1,255,211,44
SmokeEWD998_SC,528,0.52,9,520,108,89,,,,,,,0,0.0,0,0,0,0,528,0.52,108,108,
TLAPS,15358,15.0,280,15079,2869,1436,,,,,,,,,,,,,15358,15.0,2869,2869,
Utils,333,0.33,6,328,88,61,,,,,,,,,,,,,333,0.33,88,88,
CRDT,660,0.64,9,652,98,71,,,,,,,,,,,,,660,0.64,98,98,
CRDT_proof,3110,3.04,46,3065,481,348,,,,,,,,,,,,,3110,3.04,481,481,
DistributedReplicatedLog,317,0.31,7,311,88,58,,,,,,,,,,,,,317,0.31,88,88,
MCCRDT,273,0.27,5,269,58,33,,,,,,,313,0.31,18,313,83,38,586,0.57,141,58,83
MCDistributedReplicatedLog,347,0.34,6,342,76,58,,,,,,,507,0.5,25,507,147,57,854,0.83,223,76,147
MCReplicatedLog,307,0.3,6,302,64,38,,,,,,,531,0.52,30,531,153,52,838,0.82,217,64,153
ReplicatedLog,670,0.65,15,656,147,99,,,,,,,,,,,,,670,0.65,147,147,
GameOfLife,,,,,,,,,,,,,52,0.05,4,52,16,8,52,0.05,16,,16
clean,2124,2.07,65,2060,464,340,,,,,,,138,0.13,7,138,34,15,2262,2.21,498,464,34
product,1517,1.48,61,1457,330,253,,,,,,,147,0.14,8,147,42,17,1664,1.62,372,330,42
stages,1348,1.32,50,1299,309,226,,,,,,,127,0.12,8,127,38,16,1475,1.44,347,309,38
Huang,802,0.78,16,787,180,127,,,,,,,260,0.25,22,260,102,39,1062,1.04,282,180,102
ClientCentric,4380,4.28,65,4256,1080,648,,,,,,,,,,,,,4380,4.28,1080,1080,
KVsnap,3558,3.47,81,3478,823,544,,,,,,,,,,,,,3558,3.47,823,823,
KeyValueStore,1827,1.78,37,1791,330,261,,,,,,,,,,,,,1827,1.78,330,330,
MCKVS,,,,,,,,,,,,,,,,,,,,,,,
MCKVsnap,44,0.04,1,44,9,6,,,,,,,230,0.22,19,230,82,26,274,0.27,91,9,82
Util,485,0.47,9,477,143,77,,,,,,,,,,,,,485,0.47,143,143,
KnuthYao,300,0.29,5,296,86,43,,,,,,,,,,,,,300,0.29,86,86,
Prob,,,,,,,,,,,,,,,,,,,,,,,
SimKnuthYao,1248,1.22,25,1224,314,207,,,,,,,265,0.26,17,265,78,27,1513,1.48,392,314,78
Functions,2666,2.6,37,2630,337,194,,,,,,,,,,,,,2666,2.6,337,337,
LamportMutex,5603,5.47,76,5528,602,412,,,,,,,,,,,,,5603,5.47,602,602,
LamportMutex_proofs,3069,3.0,42,3028,403,277,,,,,,,,,,,,,3069,3.0,403,403,
MCLamportMutex,,,,,,,,,,,,,153,0.15,9,153,48,21,153,0.15,48,,48
NaturalsInduction,5029,4.91,72,4958,691,472,,,,,,,,,,,,,5029,4.91,691,691,
SequenceTheorems,5344,5.22,74,5271,578,370,,,,,,,,,,,,,5344,5.22,578,578,
TLAPS,15358,15.0,280,15079,2869,1436,,,,,,,,,,,,,15358,15.0,2869,2869,
WellFoundedInduction,8058,7.87,113,7946,1206,855,,,,,,,,,,,,,8058,7.87,1206,1206,
AddTwo,728,0.71,17,712,125,79,,,,,,,,,,,,,728,0.71,125,125,
FindHighest,2304,2.25,49,2256,492,351,,,,,,,,,,,,,2304,2.25,492,492,
MCFindHighest,,,,,,,,,,,,,221,0.22,16,221,68,28,221,0.22,68,,68
LeastCircularSubstring,1390,1.36,44,1347,417,220,,,,,,,,,,,,,1390,1.36,417,417,
MCLeastCircularSubstring,,,,,,,,,,,,,,,,,,,,,,,
ZSequences,916,0.89,15,902,180,122,,,,,,,,,,,,,916,0.89,180,180,
LevelSpec,87049,85.01,1365,85685,12980,8584,,,,,,,,,,,,,87049,85.01,12980,12980,
BinarySearch,3328,3.25,58,3271,622,406,,,,,,,,,,,,,3328,3.25,622,622,
MCBinarySearch,,,,,,,,,,,,,146,0.14,8,146,48,18,146,0.14,48,,48
MCQuicksort,,,,,,,,,,,,,137,0.13,8,137,44,18,137,0.13,44,,44
Quicksort,12558,12.26,201,12358,2212,1415,,,,,,,,,,,,,12558,12.26,2212,2212,
SumSequence,9187,8.97,150,9038,1510,996,,,,,,,,,,,,,9187,8.97,1510,1510,
MCMajority,308,0.3,4,305,31,22,,,,,,,154,0.15,15,154,53,24,462,0.45,84,31,53
