Model,Temperature,Repeat_Penalty,PASS,FAIL,ERROR,Total,Success_Rate(%)
deepseek-coder:6.7b,0.8,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.8,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.8,1.5,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.0,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.1,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.2,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.3,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.4,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.5,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.0,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.1,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.2,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.3,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.4,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.5,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.0,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.1,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.2,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.3,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.4,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.5,0,26,0,26,0.00
deepseek-coder:latest,0.3,1.0,0,26,0,26,0.00
